,event_name,venue,neighborhood,start_date,start_time,end_date,end_time,all_day_event,category,event_cost,purchase_req,free,show_map_link,show_map,event_description,stage_time,event_website
90,Storytelling Mic,LA Wine,DTLA,2020-01-13,7:30 PM,2020-01-13,9:30 PM,False,Storytelling ,$0,No,True,True,True,"

in Suite 200
For storytelling only
Sign-up 7:15PM-7:30PM 
5 min.
4-5 spots only
Mixed in w/booked spots
Stories must have a beginning, middle, and end. Can't offend the customers. 
Hosted by Cat Crow",5 min.,
303,LA Connection Comedy Theater,LA Connection Comedy Theater,Burbank/NoHo/Valley,2020-01-16,6:00 PM,2020-01-16,7:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/hotmedusa-
Starts 6PM
Ends 7PM
5 min.
Hosted by Suwon Weaver
Can stay for Hot Medusa Comedy Show for free",5 min.,https://slotted.co/hotmedusa-
264,The Barkley,The Barkley,Pasadena,2020-01-22,9:00 PM,2020-01-22,11:00 PM,False,Open Mic,$0,No,True,True,True,"

Starts 9PM
Rolling lottery
Hosted by Vance Sanders",3 min.,
383,(7-9PM Hourly) The Open Mic Spot,The Open Mic Spot,South LA,2020-01-24,7:00 PM,2020-01-24,9:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://openmicspot.com/open-mic/ 
Mic runs hourly from 7PM-9PM (mic ends at 10PM)
5 min. 
Must stay for whole hour 
Cancellations must be made 2 hours in advance",5 min.,https://openmicspot.com/open-mic/
447,(8-10PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-01-25,8:00 PM,2020-01-25,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/therapeuticnoise
Mic runs every hour on the hour from 8PM-10PM (last mic ends 11PM)
6 min.
Must be on time
Must stay for whole hour",6 min.,https://slotted.co/therapeuticnoise
94,Queer Slam,Akbar,Los Feliz/Silverlake/Echo Park,2020-01-27,8:00 PM,2020-01-27,10:00 PM,False,Mixed Open Mic,$0,No,True,True,True,"

Sign-up 7:30PM
Starts 8PM
For storytelling and poetry only
4 min.
Mixed in w/booked spots
Hosted by Silverlake icon Tony Soto",4 min.,
238,Bar Sopra,Bar Sopra,WeHo/Fairfax/Beverly Hills,2020-01-29,7:30 PM,2020-01-29,9:30 PM,False,Open Mic,$0,No,True,True,True,"

Starts 7:30PM
First come, first served
Hosted by Luke Henderson",,
375,(7-9PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-01-31,7:00 PM,2020-01-31,10:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/therapeuticnoise
Mic runs every hour on the hour from 7PM-9PM (last mic ends 10PM)
6 min.
Must be on time
Must stay for whole hour",6 min.,https://slotted.co/therapeuticnoise
33,Silverlake Lounge,Silverlake Lounge,Los Feliz/Silverlake/Echo Park,2020-02-02,7:00 PM,2020-02-02,10:00 PM,False,Open Mic,$0,No,True,True,True,"

Starts 7PM (or immediately after whenever Super Bowl ends)
Lottery
3 min.
Hosted by Quincy Johnson II",3 min.,
115,Universal Bar & Grill,Universal Bar & Grill,Burbank/NoHo/Valley,2020-02-03,9:30 PM,2020-02-03,11:30 PM,False,Open Mic,$0,No,True,True,True,"

Starts 9:30PM
First come, first served
7 min. 
Mixed in w/booked spots
Hosted by J Nihilist Gelo",7 min.,
403,The Rec Room,The Rec Room,Orange County,2020-02-07,10:30 PM,2020-02-08,12:30 AM,False,Open Mic,$0,No,True,True,True,"

Sign-up 10PM
Starts 10:30PM
3 min.
Hosted by Jason Rodriguez",3 min.,
