,event_name,venue,neighborhood,start_date,start_time,end_date,end_time,all_day_event,category,event_cost,purchase_req,free,show_map_link,show_map,stage_time,event_website
0,Storytelling Mic,LA Wine,DTLA,2020-01-13,19,2020-01-13,21,False,Storytelling ,$0,No min.,"Free mics
",True,True,5 min.,
1,LA Connection Comedy Theater,LA Connection Comedy Theater,Burbank/NoHo/Valley,2020-01-16,18,2020-01-16,19,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/hotmedusa-
2,The Barkley,The Barkley,Pasadena,2020-01-22,21,2020-01-22,23,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
3,(7-9PM Hourly) The Open Mic Spot,The Open Mic Spot,South LA,2020-01-24,19,2020-01-24,21,False,Open Mic,$5,No min.,,True,True,5 min.,https://openmicspot.com/open-mic/
4,(8-10PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-01-25,20,2020-01-25,23,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
5,Queer Slam,Akbar,Los Feliz/Silverlake/Echo Park,2020-01-27,20,2020-01-27,22,False,Mixed Open Mic,$0,No min.,"Free mics
",True,True,4 min.,
6,Bar Sopra,Bar Sopra,WeHo/Fairfax/Beverly Hills,2020-01-29,19,2020-01-29,21,False,Open Mic,$0,No min.,"Free mics
",True,True,,
7,(7-9PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-01-31,19,2020-01-31,22,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
8,Silverlake Lounge,Silverlake Lounge,Los Feliz/Silverlake/Echo Park,2020-02-02,19,2020-02-02,22,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
9,Universal Bar & Grill,Universal Bar & Grill,Burbank/NoHo/Valley,2020-02-03,21,2020-02-03,1,False,Open Mic,$0,No min.,"Free mics
",True,True,7 min.,
10,Women's Only Open Mic ,Westside Comedy Theater,Westside/Santa Monica,2020-02-07,18,2020-02-07,20,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
11,The Rec Room,The Rec Room,Orange County,2020-02-07,22,2020-02-08,0,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
12,Hollywood Improv Comedy Lab,Hollywood Improv Comedy Lab,Burbank/NoHo/Valley,2020-02-09,21,2020-02-09,23,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
13,Improv Jam,Westside Comedy Theater,Westside/Santa Monica,2020-02-10,23,2020-02-10,23,False,Improv Jam,$0,No min.,"Free mics
",True,True,,
14,Universal Bar & Grill,Universal Bar & Grill,Burbank/NoHo/Valley,2020-02-10,21,2020-02-10,1,False,Open Mic,$0,No min.,"Free mics
",True,True,7 min.,
15,HaHa Cafe,HaHa Cafe,Burbank/NoHo/Valley,2020-02-11,20,2020-02-15,22,False,Open Mic,$5,No min.,,True,True,5 min.,
16,Roy's Romper Room,Roy's Romper Room,DTLA,2020-02-18,19,2020-02-18,21,False,Open Mic,$0,No min.,"Free mics
",True,True,10 min.,
17,TREE4ORT,TREE4ORT,Hollywood/East Hollywood,2020-02-19,18,2020-02-19,19,False,Open Mic,$4,No min.,,True,True,7 min.,
18,Hot and Cool Cafe,Hot and Cool Cafe,South LA,2020-02-19,20,2020-02-19,21,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
19,TREE4ORT,TREE4ORT,Hollywood/East Hollywood,2020-02-19,20,2020-02-19,21,False,Open Mic,$5,No min.,,True,True,7 min.,
20,The Clubhouse,The Clubhouse,Los Feliz/Silverlake/Echo Park,2020-02-20,19,2020-02-20,20,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
21,Pacific Plate Brewing Company,Pacific Plate Brewing Company,San Gabriel Valley,2020-02-20,19,2020-02-20,21,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
22,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-02-20,20,2020-02-21,22,False,Open Mic,,1 item min.,,True,True,5 min.,
23,Mi Corazon,Mi Corazon,Los Feliz/Silverlake/Echo Park,2020-02-20,22,2020-02-22,0,False,Open Mic,,1 item min.,,True,True,4 min.,
24,(12-10PM Hourly) Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-02-21,12,2020-02-22,22,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fbmic
25,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-02-20,20,2020-02-21,22,False,Open Mic,,1 item min.,,True,True,3 min.,
26,Geeky Teas & Games,Geeky Teas & Games,Burbank/NoHo/Valley,2020-02-22,21,2020-02-22,23,False,Open Mic,$5,No min.,,True,True,5 min.,
27,Silverlake Lounge,Silverlake Lounge,Los Feliz/Silverlake/Echo Park,2020-02-23,17,2020-02-23,19,False,Open Mic,$0,No min.,,True,True,3 min.,
28,Tribal Cafe,Tribal Cafe,Los Feliz/Silverlake/Echo Park,2020-02-23,19,2020-02-23,22,False,Open Mic,$5,No min.,,True,True,5 min.,
29,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-02-24,21,2020-02-24,23,False,Open Mic,,1 item min.,,True,True,4 min.,
30,Improv Jam,Westside Comedy Theater,Westside/Santa Monica,2020-02-24,23,2020-02-24,23,False,Improv Jam,$0,No min.,"Free mics
",True,True,,
31,The Rec Room,The Rec Room,Orange County,2020-02-25,18,2020-02-25,20,False,Open Mic,$0,No min.,"Free mics
",True,True,4 min.,
32,The Open Mic Spot,The Open Mic Spot,South LA,2020-02-26,20,2020-02-26,22,False,Open Mic,$5,No min.,,True,True,5 min.,https://openmicspot.com/open-mic/
33,(7-9PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-02-27,19,2020-02-27,22,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
34,(8PM-12AM Hourly) The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-02-28,20,2020-02-29,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/thehollywoodcomedy
35,Santa Monica Playhouse,Santa Monica Playhouse,Westside/Santa Monica,2020-02-29,21,2020-02-29,0,False,Open Mic,$5,No min.,,True,True,5 min.,
36,Akbar,Akbar,Los Feliz/Silverlake/Echo Park,2020-03-01,21,2020-03-01,22,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
37,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-02,21,2020-03-03,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/comedygrabbag
38,(6-8PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-03,18,2020-03-03,20,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
39,Unseen Contemporary,Unseen Contemporary,WeHo/Fairfax/Beverly Hills,2020-03-03,20,2020-03-03,22,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,https://jokesandjamsla.com/
40,The Whiskey,The Whiskey,Burbank/NoHo/Valley,2020-03-03,20,2020-03-03,23,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
41,Musical Improv Jam,UCB Sunset Inner Sanctum,Hollywood/East Hollywood,2020-03-03,22,2020-03-03,23,False,Improv Jam,$0,No min.,"Free mics
",True,True,,
42,North Hollywood Library,North Hollywood Library,Burbank/NoHo/Valley,2020-03-04,18,2020-03-04,20,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
43,(6-9PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-04,18,2020-03-04,22,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
44,The Moth ,Senator Jones,Westside/Santa Monica,2020-03-04,19,2020-03-04,21,False,Storytelling Mic,$15,No min.,,True,True,5 min.,
